Technique,Description,Mitigation,Detection,Mitigation_Description,proc_example
"
                            ,
                        Transmitted Data Manipulation
                    ","Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity., By manipulating transmitted data, adversaries may attempt to affect a business process, organizational understanding, and decision making.,Manipulation may be possible over a network connection or between system processes where there is an opportunity deploy a tool that will intercept and change information. The type of modification and the impact it will have depends on the target transmission mechanism as well as the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact."," APT38 ,APT38,[1], LightNeuron ,LightNeuron,[3], Metamorfo ,Metamorfo,[4], Encrypt Sensitive Information ","Detecting the manipulation of data as at passes over a network can be difficult without the appropriate tools. In some cases integrity verification checks, such as file hashing, may be used on critical files as they transit a network. With some critical processes involving transmission of data, manual or out-of-band integrity checking may be useful for identifying manipulated data. "," has used DYEPACK to manipulate SWIFT messages en route to a printer., is capable of modifying email content, headers, and attachments during transit., has a function that can watch the contents of the system clipboard for valid bitcoin addresses, which it then overwrites with the attacker's address., ,Encrypt all important data flows to reduce the impact of tailored modifications on data in transit."," has used DYEPACK to manipulate SWIFT messages en route to a printer., is capable of modifying email content, headers, and attachments during transit., has a function that can watch the contents of the system clipboard for valid bitcoin addresses, which it then overwrites with the attacker's address., ,Encrypt all important data flows to reduce the impact of tailored modifications on data in transit."
"
                        Data Encrypted for Impact
                    ","Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted., In the case of ransomware, it is typical that common user files like Office documents, PDFs, images, videos, audio, text, and source code files will be encrypted. In some cases, adversaries may encrypt critical system files, disk partitions, and the MBR.,To maximize impact on the target organization, malware designed for encrypting data may have worm-like features to propagate across a network by leveraging other attack techniques like ,, ,, and ,."," APT38 ,APT38,[5], APT41 ,APT41,[6], JCry ,JCry,[7], LockerGoga ,LockerGoga,[8],[9],[10], Maze ,Maze,Maze,[11], Netwalker ,Netwalker,[12], NotPetya ,NotPetya,[13],[3], Ragnar Locker ,Ragnar Locker,[14],[15], REvil ,REvil,[16],[17],[18],[19],[20],[21],[22], RobbinHood ,RobbinHood,[23], Ryuk ,Ryuk,[24], SamSam ,SamSam,[25], Shamoon ,Shamoon,[26],[27], SynAck ,SynAck,[28], TA505 ,TA505,[29], WannaCry ,WannaCry,[30],[2],[31], Xbash ,Xbash,[32], Data Backup ,[33]","Use process monitoring to monitor the execution and command line parameters of binaries involved in data destruction activity, such as vssadmin, wbadmin, and bcdedit. Monitor for the creation of suspicious files as well as unusual file modification activity. In particular, look for large quantities of file modifications in user directories.,In some cases, monitoring for unusual kernel driver installation activity can aid in detection."," has used Hermes ransomware to encrypt files with AES256., used a ransomware called Encryptor RaaS to encrypt files on the targeted systems and provide a ransom note to the user., has encrypted files and demanded Bitcoin to decrypt those files. , has encrypted files, including core Windows OS files, using RSA-OAEP MGF1 and then demanded Bitcoin be paid for the decryption key., has disrupted systems by encrypting files on targeted machines, claiming to decrypt files if a ransom payment is made. , has used the ChaCha algorithm, based on Salsa20, and an RSA algorithm to encrypt files., can encrypt files on infected machines to extort victims., , encrypts user files and disk structures like the MBR with 2048-bit RSA., encrypts files on the local machine and mapped drives prior to displaying a note demanding a ransom., can encrypt files on victim systems and demands a ransom to decrypt the files., will search for an RSA encryption key and then perform its encryption process on the system files., , has used a combination of symmetric (AES) and asymmetric (RSA) encryption to encrypt files. Files have been encrypted with their own AES key and given a file extension of .RYK. Encrypted directories have had a ransom note of RyukReadMe.txt written to the directory., encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., has an operational mode for encrypting data instead of overwriting it., encrypts the victims machine followed by asking the victim to pay a ransom. , has used a wide variety of ransomware, such as Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment., encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files., has maliciously encrypted victim's database systems and demanded a cryptocurrency ransom be paid.,Consider implementing IT disaster recovery plans that contain procedures for regularly taking and testing data backups that can be used to restore organizational data., Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery."," has used Hermes ransomware to encrypt files with AES256., used a ransomware called Encryptor RaaS to encrypt files on the targeted systems and provide a ransom note to the user., has encrypted files and demanded Bitcoin to decrypt those files. , has encrypted files, including core Windows OS files, using RSA-OAEP MGF1 and then demanded Bitcoin be paid for the decryption key., has disrupted systems by encrypting files on targeted machines, claiming to decrypt files if a ransom payment is made. , has used the ChaCha algorithm, based on Salsa20, and an RSA algorithm to encrypt files., can encrypt files on infected machines to extort victims., , encrypts user files and disk structures like the MBR with 2048-bit RSA., encrypts files on the local machine and mapped drives prior to displaying a note demanding a ransom., can encrypt files on victim systems and demands a ransom to decrypt the files., will search for an RSA encryption key and then perform its encryption process on the system files., , has used a combination of symmetric (AES) and asymmetric (RSA) encryption to encrypt files. Files have been encrypted with their own AES key and given a file extension of .RYK. Encrypted directories have had a ransom note of RyukReadMe.txt written to the directory., encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., has an operational mode for encrypting data instead of overwriting it., encrypts the victims machine followed by asking the victim to pay a ransom. , has used a wide variety of ransomware, such as Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment., encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files., has maliciously encrypted victim's database systems and demanded a cryptocurrency ransom be paid.,Consider implementing IT disaster recovery plans that contain procedures for regularly taking and testing data backups that can be used to restore organizational data., Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery."
"
                            ,
                        Exfiltration to Code Repository
                    ","Adversaries may exfiltrate data to a code repository rather than over their primary command and control channel. Code repositories are often accessible via an API (ex: https://api.github.com). Access to these APIs are often over HTTPS, which gives the adversary an additional level of protection.,Exfiltration to a code repository can also provide a significant amount of cover to the adversary if it is a popular service already used by hosts within the network. "," Empire ,Empire,[1], Restrict Web-Based Content ","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server) to code repositories. Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. User behavior monitoring may help to detect abnormal patterns of activity."," can use GitHub for data exfiltration.,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services."," can use GitHub for data exfiltration.,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services."
"
                        Scheduled Transfer
                    ","Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.,When scheduled exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as , or ,."," ADVSTORESHELL ,ADVSTORESHELL,[1], Cobalt Strike ,Cobalt Strike,[2], ComRAT ,ComRAT,[3], Dipsind ,Dipsind,[4], jRAT ,jRAT,[5], Kazuar ,Kazuar,[6], LightNeuron ,LightNeuron,[7], Linfo ,Linfo,[8], Machete ,Machete,[9], POWERSTATS ,POWERSTATS,[10], ShimRat ,ShimRat,[11], Network Intrusion Prevention ,[12]",Monitor process file access patterns and network behavior. Unrecognized processes or scripts that appear to be traversing file systems and sending network traffic may be suspicious. Network connections to the same destination that occur at the same time of day for multiple days are suspicious.," collects, compresses, encrypts, and exfiltrates data to the C2 server every 10 minutes., can set its ""beacon"" payload to reach out to the C2 server on an arbitrary and random interval. In addition it will break large data sets into smaller chunks for exfiltration., has been programmed to sleep outside local business hours (9 to 5, Monday to Friday)., can be configured to only run during normal working hours, which would make its communications harder to distinguish from normal traffic., can be configured to reconnect at certain intervals., can sleep for a specific time and be set to communicate at specific intervals., can be configured to exfiltrate data during nighttime or working hours., creates a backdoor through which remote attackers can change the frequency at which compromised hosts contact remote C2 infrastructure., sends stolen data to the C2 server every 10 minutes., , can sleep for a given number of seconds., can sleep when instructed to do so by the C2.,  ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool command and control signatures over time or construct protocols in such a way to avoid detection by common defensive tools. "," collects, compresses, encrypts, and exfiltrates data to the C2 server every 10 minutes., can set its ""beacon"" payload to reach out to the C2 server on an arbitrary and random interval. In addition it will break large data sets into smaller chunks for exfiltration., has been programmed to sleep outside local business hours (9 to 5, Monday to Friday)., can be configured to only run during normal working hours, which would make its communications harder to distinguish from normal traffic., can be configured to reconnect at certain intervals., can sleep for a specific time and be set to communicate at specific intervals., can be configured to exfiltrate data during nighttime or working hours., creates a backdoor through which remote attackers can change the frequency at which compromised hosts contact remote C2 infrastructure., sends stolen data to the C2 server every 10 minutes., , can sleep for a given number of seconds., can sleep when instructed to do so by the C2.,  ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool command and control signatures over time or construct protocols in such a way to avoid detection by common defensive tools. "
"
                        Account Access Removal
                    ","Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials) to remove access to accounts.,Adversaries may also subsequently log off and/or reboot boxes to set malicious changes into place."," LockerGoga ,LockerGoga,[1],[2]","Use process monitoring to monitor the execution and command line parameters of binaries involved in deleting accounts or changing passwords, such as use of ,. Windows event logs may also designate activity associated with an adversary's attempt to remove access to an account:,Alerting on , and these Event IDs may generate a high degree of false positives, so compare against baseline knowledge for how systems are typically used and correlate modification events with other indications of malicious activity where possible.", has been observed changing account passwords and logging off current users., has been observed changing account passwords and logging off current users.
"
                            ,
                        Exfiltration to Cloud Storage
                    ","Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel. Cloud storage services allow for the storage, edit, and retrieval of data from a remote cloud storage server over the Internet.,Examples of cloud storage services include Dropbox and Google Docs. Exfiltration to these cloud storage services can provide a significant amount of cover to the adversary if hosts within the network are already communicating with the service. "," Empire ,Empire,[1], HAMMERTOSS ,HAMMERTOSS,[2], Leviathan ,Leviathan,[3],[4], Turla ,Turla,[5],Turla,[6], Restrict Web-Based Content ","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server) to known cloud storage services. Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. User behavior monitoring may help to detect abnormal patterns of activity."," can use Dropbox for data exfiltration., exfiltrates data by uploading it to accounts created by the actors on Web cloud storage providers for the adversaries to retrieve later., has used an uploader known as LUNCHMONEY that can exfiltrate files to Dropbox., has used WebDAV to upload stolen USB files to a cloud drive., , has also exfiltrated stolen files to OneDrive and 4shared.,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services."," can use Dropbox for data exfiltration., exfiltrates data by uploading it to accounts created by the actors on Web cloud storage providers for the adversaries to retrieve later., has used an uploader known as LUNCHMONEY that can exfiltrate files to Dropbox., has used WebDAV to upload stolen USB files to a cloud drive., , has also exfiltrated stolen files to OneDrive and 4shared.,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services."
"
                        Transfer Data to Cloud Account
                    ","Adversaries may exfiltrate data by transferring the data, including backups of cloud environments, to another cloud account they control on the same service to avoid typical file transfers/downloads and network-based exfiltration detection.,A defender who is monitoring for large transfers to outside the cloud environment through normal file transfers or over command and control channels may not be watching for data transfers to another account within the same cloud provider. Such transfers may utilize existing cloud provider APIs and the internal address space of the cloud provider to blend into normal traffic or avoid data transfers over external network interfaces.,Incidents have been observed where adversaries have created backups of cloud instances and transferred them to separate accounts., "," Filter Network Traffic , Password Policies , User Account Management ","Monitor account activity for attempts to share data, snapshots, or backups with untrusted or unusual accounts on the same cloud service provider. Monitor for anomalous file transfer activity between accounts and to untrusted VPCs. ","Implement network-based filtering restrictions to prohibit data transfers to untrusted VPCs.,Consider rotating access keys within a certain number of days to reduce the effectiveness of stolen credentials.,Limit user account and IAM policies to the least privileges required. Consider using temporary credentials for accounts that are only valid for a certain period of time to reduce the effectiveness of compromised accounts.","Implement network-based filtering restrictions to prohibit data transfers to untrusted VPCs.,Consider rotating access keys within a certain number of days to reduce the effectiveness of stolen credentials.,Limit user account and IAM policies to the least privileges required. Consider using temporary credentials for accounts that are only valid for a certain period of time to reduce the effectiveness of compromised accounts."
"
                        Exfiltration Over Web Service
                    ","Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel. Popular Web services acting as an exfiltration mechanism may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to compromise. Firewall rules may also already exist to permit traffic to these services.,Web service providers also commonly use SSL/TLS encryption, giving adversaries an added level of protection."," Ngrok ,Ngrok,[1], Restrict Web-Based Content ","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. User behavior monitoring may help to detect abnormal patterns of activity."," has been used by threat actors to configure servers for data exfiltration.,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services."," has been used by threat actors to configure servers for data exfiltration.,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services."
"
                            ,
                        Exfiltration over USB
                    ","Adversaries may attempt to exfiltrate data over a USB connected physical device. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a USB device introduced by a user. The USB device could be used as the final exfiltration point or to hop between otherwise disconnected systems."," Agent.btz ,Agent.btz,[1], Machete ,Machete,[2],[3], Remsec ,Remsec,[4], SPACESHIP ,SPACESHIP,[5], Tropic Trooper ,Tropic Trooper,[6], USBStealer ,USBStealer,[7], Disable or Remove Feature or Program ,[8],[9], Limit Hardware Installation ",Monitor file access on removable media. Detect processes that execute when removable media are mounted.," creates a file named thumb.dd on all USB flash drives connected to the victim. This file contains information about the infected system and activity logs., has a feature to copy files from every drive onto a removable drive in a hidden folder., contains a module to move data from airgapped networks to Internet-connected systems by using a removable USB device., copies staged data to removable drives when they are inserted into the system., has exfiltrated data using USB storage devices.,   , exfiltrates collected files via removable media from air-gapped victims.,Disable Autorun if it is unnecessary. , Disallow or restrict removable media at an organizational policy level if they are not required for business operations. ,Limit the use of USB devices and removable media within a network."," creates a file named thumb.dd on all USB flash drives connected to the victim. This file contains information about the infected system and activity logs., has a feature to copy files from every drive onto a removable drive in a hidden folder., contains a module to move data from airgapped networks to Internet-connected systems by using a removable USB device., copies staged data to removable drives when they are inserted into the system., has exfiltrated data using USB storage devices.,   , exfiltrates collected files via removable media from air-gapped victims.,Disable Autorun if it is unnecessary. , Disallow or restrict removable media at an organizational policy level if they are not required for business operations. ,Limit the use of USB devices and removable media within a network."
"
                        Data Destruction
                    ","Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives., Common operating system file deletion commands such as , and , often only remove pointers to files without wiping the contents of the files themselves, making the files recoverable by proper forensic methodology. This behavior is distinct from , and , because individual files are destroyed rather than sections of a storage disk or the disk's logical structure.,Adversaries may attempt to overwrite files and directories with randomly generated data to make it irrecoverable., In some cases politically oriented image files have been used to overwrite data.,To maximize impact on the target organization in operations where network-wide availability interruption is the goal, malware designed for destroying data may have worm-like features to propagate across a network by leveraging additional techniques like ,, ,, and ,."," APT38 ,APT38,[7], BlackEnergy ,BlackEnergy,[8],[9], Kazuar ,Kazuar,[10], Lazarus Group ,Lazarus Group,[11], Olympic Destroyer ,Olympic Destroyer,[6], PowerDuke ,PowerDuke,[12], Proxysvc ,Proxysvc,[13], RawDisk ,RawDisk,Shamoon,[3],[5], REvil ,REvil,[14],[15],[16],[16],[17],[18],[19], Sandworm Team ,Sandworm Team,BlackEnergy,[20],[21], SDelete ,SDelete,[22], Shamoon ,Shamoon,[1],[2],[3],[5],[23], StoneDrill ,StoneDrill,[4], Xbash ,Xbash,[24], Data Backup ,[25]","Use process monitoring to monitor the execution and command-line parameters of binaries that could be involved in data destruction activity, such as ,. Monitor for the creation of suspicious files as well as high unusual file modification activity. In particular, look for large quantities of file modifications in user directories and under ,."," has used a custom secure delete function to make deleted files unrecoverable., 2 contains a ""Destroy"" plug-in that destroys data stored on victim hard drives by overwriting file contents., can overwrite files with random data before deleting them., has used a custom secure delete function to overwrite file contents with data from heap memory., overwrites files locally and on remote shares., , has a command to write random data across a file and delete it., can overwrite files indicated by the attacker before deleting them., was used in , to write to protected system locations such as the MBR and disk partitions in an effort to destroy data., has the capability to destroy files and folders., has used the , KillDisk component to overwrite files on Windows-based Human-Machine Interfaces. , deletes data in a way that makes it unrecoverable., attempts to overwrite operating system files and disk structures with image files., In a later variant, randomly generated data was used for data overwrites., has a disk wiper module that targets files other than those in the Windows directory., has destroyed Linux-based databases as part of its ransomware capabilities.,  ,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data., Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery."," has used a custom secure delete function to make deleted files unrecoverable., 2 contains a ""Destroy"" plug-in that destroys data stored on victim hard drives by overwriting file contents., can overwrite files with random data before deleting them., has used a custom secure delete function to overwrite file contents with data from heap memory., overwrites files locally and on remote shares., , has a command to write random data across a file and delete it., can overwrite files indicated by the attacker before deleting them., was used in , to write to protected system locations such as the MBR and disk partitions in an effort to destroy data., has the capability to destroy files and folders., has used the , KillDisk component to overwrite files on Windows-based Human-Machine Interfaces. , deletes data in a way that makes it unrecoverable., attempts to overwrite operating system files and disk structures with image files., In a later variant, randomly generated data was used for data overwrites., has a disk wiper module that targets files other than those in the Windows directory., has destroyed Linux-based databases as part of its ransomware capabilities.,  ,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data., Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery."
"
                        Exfiltration Over Physical Medium
                    ","Adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a physical medium or device introduced by a user. Such media could be an external hard drive, USB drive, cellular phone, MP3 player, or other removable storage and processing device. The physical medium or device could be used as the final exfiltration point or to hop between otherwise disconnected systems."," Disable or Remove Feature or Program ,[1],[2], Limit Hardware Installation ",Monitor file access on removable media. Detect processes that execute when removable media are mounted.,"Disable Autorun if it is unnecessary. , Disallow or restrict removable media at an organizational policy level if they are not required for business operations. ,Limit the use of USB devices and removable media within a network.","Disable Autorun if it is unnecessary. , Disallow or restrict removable media at an organizational policy level if they are not required for business operations. ,Limit the use of USB devices and removable media within a network."
"
                            ,
                        Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
                    ","Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. ,Asymmetric encryption algorithms are those that use different keys on each end of the channel. Also known as public-key cryptography, this requires pairs of cryptographic keys that can encrypt/decrypt data from the corresponding key. Each end of the communication channels requires a private key (only in the procession of that entity) and the public key of the other entity. The public keys of each entity are exchanged before encrypted communications begin. ,Network protocols that use asymmetric encryption (such as HTTPS/TLS/SSL) often utilize symmetric encryption once keys are exchanged. Adversaries may opt to use these encrypted mechanisms that are baked into a protocol. "," UNC2452 ,UNC2452,[1], Filter Network Traffic , Network Intrusion Prevention , Network Segmentation ,[2]","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious., "," exfiltrated collected data over a simple HTTPS request to a password-protected archive staged on a victim's OWA servers.,Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. ,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network."," exfiltrated collected data over a simple HTTPS request to a password-protected archive staged on a victim's OWA servers.,Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. ,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network."
"
                            ,
                        Exfiltration Over Symmetric Encrypted Non-C2 Protocol
                    ","Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. ,Symmetric encryption algorithms are those that use shared or the same keys/secrets on each end of the channel. This requires an exchange or pre-arranged agreement/possession of the value used to encrypt and decrypt data. ,Network protocols that use asymmetric encryption often utilize symmetric encryption once keys are exchanged, but adversaries may opt to manually share keys and implement symmetric cryptographic algorithms (ex: RC4, AES) vice using mechanisms that are baked into a protocol. This may result in multiple layers of encryption (in protocols that are natively encrypted such as HTTPS) or encryption in protocols that not typically encrypted (such as HTTP or FTP). "," Filter Network Traffic , Network Intrusion Prevention , Network Segmentation ,[1]","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious., ,Artifacts and evidence of symmetric key exchange may be recoverable by analyzing network traffic or looking for hard-coded values within malware. If recovered, these keys can be used to decrypt network data from command and control channels. ","Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. ,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.","Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. ,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network."
"
                        Exfiltration Over Other Network Medium
                    ","Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel. If the command and control network is a wired Internet connection, the exfiltration may occur, for example, over a WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel.,Adversaries may choose to do this if they have sufficient access or proximity, and the connection might not be secured or defended as well as the primary Internet-connected channel because it is not routed through the same enterprise network"," Operating System Configuration ,[1],[2]","Monitor for processes utilizing the network that do not normally have network communication or have never been seen before. Processes that normally require user-driven events to access the network (for example, a web browser opening with a mouse click or key press) but access the network without such may be malicious.,Monitor for and investigate changes to host adapter settings, such as addition and/or replication of communication interfaces.","Prevent the creation of new network adapters where possible., ","Prevent the creation of new network adapters where possible., "
"
                            ,
                        Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
                    ","Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. ,Adversaries may opt to obfuscate this data, without the use of encryption, within network protocols that are natively unencrypted (such as HTTP, FTP, or DNS). This may include custom or publicly available encoding/compression algorithms (such as base64) as well as embedding data within protocol headers and fields. "," Agent Tesla ,Agent Tesla,[1],[2], APT32 ,APT32,[3], APT33 ,APT33,[4], BITSAdmin ,BITSAdmin,BITS Jobs,[5], Brave Prince ,Brave Prince,[6], Carbon ,Carbon,[7], Cherry Picker ,Cherry Picker,[8], CookieMiner ,CookieMiner,[9], CORALDECK ,CORALDECK,[10], CosmicDuke ,CosmicDuke,[11], FIN6 ,FIN6,[12], FIN8 ,FIN8,[13], FTP ,FTP,[14], Kessel ,Kessel,[15], KONNI ,KONNI,[16], Lazarus Group ,Lazarus Group,[17],[18], OilRig ,OilRig,[19], PoetRAT ,PoetRAT,FTP,[20], Remsec ,Remsec,[21], Thrip ,Thrip,[22], WindTail ,WindTail,[23], Wizard Spider ,Wizard Spider,[24],[25], Filter Network Traffic , Network Intrusion Prevention , Network Segmentation ,[26]","Analyze network data for uncommon data flows (e.g., a client sending significantly more data than it receives from a server). Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious. Analyze packet contents to detect communications that do not follow the expected protocol behavior for the port that is being used. , "," has routines for exfiltration over SMTP, FTP, and HTTP.,'s backdoor can exfiltrate data by encoding it in the subdomain field of DNS packets., has used FTP to exfiltrate files (separately from the C2 channel)., can be used to create , to upload files from a compromised host.,Some , variants have used South  Korea's Daum email service to exfiltrate information, and later variants have posted the data to a web server via an HTTP post command., uses HTTP to send data to the C2 server., exfiltrates files over FTP., has used the , command to exfiltrate data over HTTP., has exfiltrated data in HTTP POST headers., exfiltrates collected files over FTP or WebDAV. Exfiltration servers can be separately configured from C2 servers., has sent stolen payment card data to remote servers via HTTP POSTs., has used FTP to exfiltrate collected data., may be used to exfiltrate data separate from the main command and control protocol., can exfiltrate credentials and other information via HTTP POST request, TCP, and DNS., has used FTP to exfiltrate reconnaissance data out., malware SierraBravo-Two generates an email message via SMTP containing information about newly infected victims., has exfiltrated data over FTP separately from its primary C2 channel over DNS., has used , for exfiltration., can exfiltrate data via a DNS tunnel or email, separately from its C2 channel., has used WinSCP to exfiltrate data from a targeted organization over FTP., has the ability to automatically exfiltrate files using the macOS built-in utility /usr/bin/curl., has exfiltrated victim information using FTP.,Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. ,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network."," has routines for exfiltration over SMTP, FTP, and HTTP.,'s backdoor can exfiltrate data by encoding it in the subdomain field of DNS packets., has used FTP to exfiltrate files (separately from the C2 channel)., can be used to create , to upload files from a compromised host.,Some , variants have used South  Korea's Daum email service to exfiltrate information, and later variants have posted the data to a web server via an HTTP post command., uses HTTP to send data to the C2 server., exfiltrates files over FTP., has used the , command to exfiltrate data over HTTP., has exfiltrated data in HTTP POST headers., exfiltrates collected files over FTP or WebDAV. Exfiltration servers can be separately configured from C2 servers., has sent stolen payment card data to remote servers via HTTP POSTs., has used FTP to exfiltrate collected data., may be used to exfiltrate data separate from the main command and control protocol., can exfiltrate credentials and other information via HTTP POST request, TCP, and DNS., has used FTP to exfiltrate reconnaissance data out., malware SierraBravo-Two generates an email message via SMTP containing information about newly infected victims., has exfiltrated data over FTP separately from its primary C2 channel over DNS., has used , for exfiltration., can exfiltrate data via a DNS tunnel or email, separately from its C2 channel., has used WinSCP to exfiltrate data from a targeted organization over FTP., has the ability to automatically exfiltrate files using the macOS built-in utility /usr/bin/curl., has exfiltrated victim information using FTP.,Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. ,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. ,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network."
